id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1456,1668157104581115906,"https://twitter.com/bevan_hanie/statuses/1668157104581115906","https://twitter.com/bevan_hanie/statuses/1668157104581115906","bevan_hanie","Netizen heboh usai Ketua Umum PSSI Erick Thohir mengumumkan kesepakatan kerja sama dengan operator Liga Jerman, Deutsche Fussball Liga (DFL) untuk memajukan Liga Indonesia sebagai yang terbaik di Asia Tenggara.  #GueBarengErickThohir https://t.co/9KuSbHidaM","Netizen heboh usai Ketua Umum PSSI Erick Thohir mengumumkan kesepakatan kerja sama dengan operator Liga Jerman, Deutsche Fussball Liga (DFL) untuk memajukan Liga Indonesia sebagai yang terbaik di Asia Tenggara.  #GueBarengErickThohir https://t.co/9KuSbHidaM","2023-06-12 03:23:41","Twitter Web App",17,8,"in","","original","",0,0,"",0,0,1425475424927195142,"https://pbs.twimg.com/profile_images/1605724211921551360/vBEKRKJ5_normal.jpg",2548,1943,19098,"2021-08-11 11:13:27","#PenikmatDramaKorea  Porno ⛔ DM ⛔","Bali","",
1457,1668156442598309889,"https://twitter.com/Aprilia_wiji/statuses/1668156442598309889","https://twitter.com/Aprilia_wiji/statuses/1668156442598309889","Aprilia_wiji","Langkah dari Ketua Umum PSSI Erick Thohir untuk menyumbangkan sebagian dari hasil penjualan tiket pertandingan FIFA Matchday antara Timnas Indonesia melawan Timnas Palestina, untuk perjuangan rakyat Palestina, mendapatkan apresiasi dari PBNU. @erickthohir #GueBarengErickThohir https://t.co/7PK8sQFUqx","Langkah dari Ketua Umum PSSI Erick Thohir untuk menyumbangkan sebagian dari hasil penjualan tiket pertandingan FIFA Matchday antara Timnas Indonesia melawan Timnas Palestina, untuk perjuangan rakyat Palestina, mendapatkan apresiasi dari PBNU. @erickthohir #GueBarengErickThohir https://t.co/7PK8sQFUqx","2023-06-12 03:21:03","Twitter for Android",16,10,"in","","original","",0,0,"",0,0,326453024,"https://pbs.twimg.com/profile_images/1513399133704445952/q64kyiy1_normal.jpg",49832,801,3673,"2011-06-29 19:08:00","","","",
1458,1668155762294804480,"https://twitter.com/AgusValentinos4/statuses/1668155762294804480","https://twitter.com/AgusValentinos4/statuses/1668155762294804480","AgusValentinos4","RT @bukan_main_: Kali ini terobosan Pak @erickthohir membuat midisen terpukau. Memang sangat mengejutkan ketika Erick Thohir menggandeng De…","Kali ini terobosan Pak @erickthohir membuat midisen terpukau. Memang sangat mengejutkan ketika Erick Thohir menggandeng Deutsche Fussball Liga (DFL), apresiasi dari netizen Indonesia pun langsung mengalir untuk Ketum PSSI saat ini. #GueBarengErickThohir https://t.co/kvSxtKYbRf","2023-06-12 03:18:21","Twitter for Android",0,15,"in","","retweet","",0,0,"bukan_main_",1348286597645537280,1668050379542790146,1457144520257064962,"https://pbs.twimg.com/profile_images/1643112288344489984/73GESR0k_normal.jpg",11693,1520,1469,"2021-11-06 20:35:13","#BhinekaTunggalIka#NKRIharga mati#Jalinpersatuan#","","",
1459,1668155678903635968,"https://twitter.com/dcristnugroho/statuses/1668155678903635968","https://twitter.com/dcristnugroho/statuses/1668155678903635968","dcristnugroho","RT @chaterine_8: Mantap 👍  Relasi pak Erick Thohir di sepakbola gak kaleng² Yakin PSSI ada di tangan orang yg tepat 🙏  @erickthohir #GueBar…","Mantap 👍  Relasi pak Erick Thohir di sepakbola gak kaleng² Yakin PSSI ada di tangan orang yg tepat 🙏  @erickthohir #GueBarengErickThohir https://t.co/VtNPgZKE1A","2023-06-12 03:18:01","Twitter for Android",0,29,"in","","retweet","",0,0,"chaterine_8",15256823,1668143732854779904,1395975607347863552,"https://pbs.twimg.com/profile_images/1659439787919671299/tpgYPs1__normal.jpg",72844,4193,4487,"2021-05-22 01:31:59","Indonesia negaraqu Pancasila Ideologiqu #GerakanMERAHPUTIH adalah gerakanqu utk satu Tekad Jaga NKRI","Semarang, Jawa Tengah","",
1460,1668155658443845633,"https://twitter.com/AgusValentinos4/statuses/1668155658443845633","https://twitter.com/AgusValentinos4/statuses/1668155658443845633","AgusValentinos4","RT @Ruhi_Ruhi_: Kalau dulu PSSI nya yang kagetan kalau ada yang kritik.  Kalau sekarang kebalik.  Masyarakat yang dibuat kagetan oleh Ketum…","Kalau dulu PSSI nya yang kagetan kalau ada yang kritik.  Kalau sekarang kebalik.  Masyarakat yang dibuat kagetan oleh Ketum PSSI Erick Thohir.  Luar Biasa.. Top Markotop deh..   #GueBarengErickThohir https://t.co/q9RNiWLQwG","2023-06-12 03:17:56","Twitter for Android",0,17,"in","","retweet","",0,0,"Ruhi_Ruhi_",1377312245357498369,1668095357425967104,1457144520257064962,"https://pbs.twimg.com/profile_images/1643112288344489984/73GESR0k_normal.jpg",11693,1520,1469,"2021-11-06 20:35:13","#BhinekaTunggalIka#NKRIharga mati#Jalinpersatuan#","","",
1461,1668155646603296773,"https://twitter.com/dcristnugroho/statuses/1668155646603296773","https://twitter.com/dcristnugroho/statuses/1668155646603296773","dcristnugroho","RT @chaterine_8: Terobosan yg dilakukan Erick Thohir dgn menggandeng Deutsch Fussball Liga (DFL) utk kemajuan PSSI bikin netizen terpukau &amp;…","Terobosan yg dilakukan Erick Thohir dgn menggandeng Deutsch Fussball Liga (DFL) utk kemajuan PSSI bikin netizen terpukau &amp; mendapatkan apresiasi tinggi  Mantul pak Erick 👍  @erickthohir  #GueBate https://t.co/TzUJQKrotm","2023-06-12 03:17:53","Twitter for Android",0,11,"in","","retweet","",0,0,"chaterine_8",15256823,1668154062515359744,1395975607347863552,"https://pbs.twimg.com/profile_images/1659439787919671299/tpgYPs1__normal.jpg",72844,4193,4487,"2021-05-22 01:31:59","Indonesia negaraqu Pancasila Ideologiqu #GerakanMERAHPUTIH adalah gerakanqu utk satu Tekad Jaga NKRI","Semarang, Jawa Tengah","",
1462,1668155641817628672,"https://twitter.com/AgusValentinos4/statuses/1668155641817628672","https://twitter.com/AgusValentinos4/statuses/1668155641817628672","AgusValentinos4","RT @al_lasan: Berkat tangan dingin Erick Thohir yang sudah merombak wajah PSSI, menuai insentif elektoral  kerja nyata yang sudah dilakukan…","Berkat tangan dingin Erick Thohir yang sudah merombak wajah PSSI, menuai insentif elektoral  kerja nyata yang sudah dilakukan @erickthohir  untuk PSSI secara otomatis mendongkrak elektabilitasnya  #GanjarErickDuetTerbaik https://t.co/R8QhXSqvKC","2023-06-12 03:17:52","Twitter for Android",0,23,"in","","retweet","",0,0,"al_lasan",1325448613305085960,1668084532766179329,1457144520257064962,"https://pbs.twimg.com/profile_images/1643112288344489984/73GESR0k_normal.jpg",11693,1520,1469,"2021-11-06 20:35:13","#BhinekaTunggalIka#NKRIharga mati#Jalinpersatuan#","","",
1463,1668154987627814912,"https://twitter.com/reina_galagher/statuses/1668154987627814912","https://twitter.com/reina_galagher/statuses/1668154987627814912","reina_galagher","RT @Selena_Lauraaa: Punya Ketum PSSI yg sdh tuntas dgn dirinya udh gt hoby olahraga pula, yaitu Erick Thohir yg udh tuntas dgn urusan mater…","Punya Ketum PSSI yg sdh tuntas dgn dirinya udh gt hoby olahraga pula, yaitu Erick Thohir yg udh tuntas dgn urusan materi. Skrg fokus ingin memajukan sepakbola yg merupakan hobbynya. Erick Thohir semangat mengunjungi tokoh sepakbola dunia utk sharing ilmu.  #GueBarengErickThohir https://t.co/oMwdYJnRh3","2023-06-12 03:15:16","Twitter for Android",0,13,"in","","retweet","",0,0,"Selena_Lauraaa",1243076846515662848,1668153255967490048,1184318004563021824,"https://pbs.twimg.com/profile_images/1656948455154253826/bJn8iXZL_normal.jpg",11463,606,3663,"2019-10-16 00:00:01","","","",
1464,1668154201384574977,"https://twitter.com/MARV3Louis/statuses/1668154201384574977","https://twitter.com/MARV3Louis/statuses/1668154201384574977","MARV3Louis","RT @seruanhl: Terobosan Ketua Umum PSSI Erick Thohir menggandeng DFL mendapat apresiasi tinggi dari masyarakat Indonesia.  Mantap. Lanjutka…","Terobosan Ketua Umum PSSI Erick Thohir menggandeng DFL mendapat apresiasi tinggi dari masyarakat Indonesia.  Mantap. Lanjutkan Pak @erickthohir 👍👍  #GueBarengErickThohir https://t.co/ensd8bCzPr","2023-06-12 03:12:09","Twitter for Android",0,28,"in","","retweet","",0,0,"seruanhl",1174287141909590017,1668114362442354688,535315292,"https://pbs.twimg.com/profile_images/1603913291855974400/sLY3d29s_normal.jpg",109772,1066,14749,"2012-03-24 08:52:27","always chase up but never forget to look down","","",
1465,1668154062515359744,"https://twitter.com/chaterine_8/statuses/1668154062515359744","https://twitter.com/chaterine_8/statuses/1668154062515359744","chaterine_8","Terobosan yg dilakukan Erick Thohir dgn menggandeng Deutsch Fussball Liga (DFL) utk kemajuan PSSI bikin netizen terpukau &amp; mendapatkan apresiasi tinggi  Mantul pak Erick 👍  @erickthohir  #GueBate https://t.co/TzUJQKrotm","Terobosan yg dilakukan Erick Thohir dgn menggandeng Deutsch Fussball Liga (DFL) utk kemajuan PSSI bikin netizen terpukau &amp; mendapatkan apresiasi tinggi  Mantul pak Erick 👍  @erickthohir  #GueBate https://t.co/TzUJQKrotm","2023-06-12 03:11:35","Twitter for Android",16,11,"in","","original","",0,0,"",0,0,15256823,"https://pbs.twimg.com/profile_images/1661210243836317696/t4Q59VHP_normal.jpg",142694,10027,11504,"2008-06-27 15:08:44","https://t.co/aI6aVbTkPW","Tangerang, Banten","",
