created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 09 14:49:52 +0000 2023;1733499205363306695;"@BosPurwa @ZUL_Hasan @prabowo Yang bener itu jingle nya : Pan pan pan.. pilih nomor delapan 😄  Silahkan gas joget gas bagi migor, terima hiburannya terima migornya, tapi gunakan hati nurani ketika mencoblos nanti 👍";0;0;1;0;in;1599338481125560321;1733324358599471545;MazGondhez;https://twitter.com/MazGondhez/status/1733499205363306695
Sat Dec 09 14:49:49 +0000 2023;1733499195615760779;"@Gerindra  @prabowo  @gibran_tweet  Setiap hari bagikan 1 susu kotak UHT untuk atasi anak stunting   Loe pikir sekali minum 1 kotak selesai masalah stunting   Ini  pemodohan atau pencintraan masa kampanye";0;0;0;0;in;886899169314488320;1733499195615760779;Mohamad41967776;https://twitter.com/Mohamad41967776/status/1733499195615760779
Sat Dec 09 14:49:42 +0000 2023;1733499166465421560;"@Joker_Wedoks Masih percaya mitos-mitos tentang Jokowi  5 tahun pertama penanaman mitos-mitos, 5tahun ke dua terhipnotis ketika Prabowo dojadikan pembantunya dengan puja puji yg terus ditiupkan berikutnya bawah sadar atoritarian mulai diwujudkan dg penyelundupan hukum, sandera pr koruptor  dst";0;1;0;1;in;1659779740499320832;1733489882406986191;thelastprince65;https://twitter.com/thelastprince65/status/1733499166465421560
Sat Dec 09 14:49:48 +0000 2023;1733499191748633038;"@info_beragam @prabowo @Gerindra Yes banget, PakbowoKita PilihannyaKita menyampaikan jangan takut gagal, karena dalam kesalahan itu jalan meraih kesuksesan. #AkuRelawanPrabowoGibran #KitaMudaBeraniKeren SerunyaBareng AyahbowoGibran @prabowo @gerindra";0;0;0;0;in;1713466610462363648;1733429517887345069;DylanWilliii;https://twitter.com/DylanWilliii/status/1733499191748633038
Sat Dec 09 14:49:49 +0000 2023;1733499195116654634;"#TemanPemilih   Perlu kam tau bersama, pada waktu lalu (24/11)KPU Kab Pegunungan Bintang telah menggelar Bimbingan teknis Sistem Informasi dan Dana Kampanye (SIKADEKA) Pemilu Tahun 2024 bersama 15 Partai Politik se-Kabupaten Pegunungan Bintang.  #KPU Melayani #pemilihanserentak https://t.co/fBezj3cCBX";0;0;0;0;in;1536259097129271296;1733499195116654634;KpuPegbintang;https://twitter.com/KpuPegbintang/status/1733499195116654634
Sat Dec 09 14:49:42 +0000 2023;1733499165462913483;"Relawan Mas Gibran membawa sembako sebagai bendera solidaritas, mengajarkan kita arti sejati dari kebersamaan.  #RelawanMasGibran #MasGibranUntukIndonesia #gibranrakabumingraka #prabowogibran #prabowo #gibran https://t.co/oiCy8O8WC4";0;0;0;0;in;1225506473775706114;1733499165462913483;masgibran2024;https://twitter.com/masgibran2024/status/1733499165462913483
Sat Dec 09 14:49:36 +0000 2023;1733499139961541083;"Jumat Berkah, Menhan Prabowo Bagikan Makan Siang dan Susu Gratis, Menuju Indonesia Emas 2045 - https://t.co/n80tD5qZsS https://t.co/W5o09pnIoO #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;4579831158;1733499139961541083;ChairudinN6548;https://twitter.com/ChairudinN6548/status/1733499139961541083
Sat Dec 09 14:49:36 +0000 2023;1733499139437342772;"Jumat Berkah, Menhan Prabowo Bagikan Makan Siang dan Susu Gratis, Menuju Indonesia Emas 2045 - https://t.co/XjFp7ea87C https://t.co/6t5PfG2WqE #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;797615281455525888;1733499139437342772;AzzrielAzaryahu;https://twitter.com/AzzrielAzaryahu/status/1733499139437342772
Sat Dec 09 14:49:35 +0000 2023;1733499137344336122;"Jumat Berkah, Menhan Prabowo Bagikan Makan Siang dan Susu Gratis, Menuju Indonesia Emas 2045 - https://t.co/QxA1nGtHiH https://t.co/gYwWl70IGq #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;795445014864203777;1733499137344336122;AzhareAkiba;https://twitter.com/AzhareAkiba/status/1733499137344336122
Sat Dec 09 14:49:35 +0000 2023;1733499135448555551;"Budiman Sarankan Prabowo Tanya Megawati Jika Ingin Gibran Jadi Cawapres - detikSumut https://t.co/TAFerdwgPf #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;4561819285;1733499135448555551;doddy_h4312;https://twitter.com/doddy_h4312/status/1733499135448555551
Sat Dec 09 14:49:35 +0000 2023;1733499134047576251;"Tanggapi Rumor Jadi Cawapres Prabowo, Gibran Sebut Dirinya Belum Cukup Umur - https://t.co/uKSJjRFnxX https://t.co/DUBBgw91X7 #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;4579831158;1733499134047576251;ChairudinN6548;https://twitter.com/ChairudinN6548/status/1733499134047576251
Sat Dec 09 14:49:34 +0000 2023;1733499132596379736;"Tanggapi Rumor Jadi Cawapres Prabowo, Gibran Sebut Dirinya Belum Cukup Umur - https://t.co/zFi17lQ5o4 https://t.co/T9sDiS6rai #BersamaIndonesiaMaju #PrabowoGemoy #KodeKita08Gemoy";0;0;10;0;in;4561819285;1733499132596379736;doddy_h4312;https://twitter.com/doddy_h4312/status/1733499132596379736
Sat Dec 09 14:49:34 +0000 2023;1733499131661046181;"Kontribusi pemuda TKN Fanta Prabowo-Gibran di bidang kesehatan diungkapkan dengan bangga oleh Arief Rosyid Hasan. dekade08";0;0;0;0;in;1647838291637714944;1733499131661046181;tasrikajuniyati;https://twitter.com/tasrikajuniyati/status/1733499131661046181
Sat Dec 09 14:49:31 +0000 2023;1733499120856576052;"@info_beragam @prabowo @Gerindra Keren bro, bersama PakbowoKita PilihannyaKita setiap langkah kita waktu ini adalah tabungan bagi berhasilnya bangsa besok.  #AkuRelawanPrabowoGibran #KitaMudaBeraniKeren SerunyaBareng AyahbowoGibran @prabowo @gerindra https://t.co/zznvkYnyMo";0;0;0;0;in;1725213666440855553;1733429517887345069;HikmaSelma;https://twitter.com/HikmaSelma/status/1733499120856576052
Sat Dec 09 14:49:31 +0000 2023;1733499119539511486;"makalah pemilu mpk &amp  osis https://t.co/nqUOKLxmK0";0;1;0;0;in;523146101;1697445666526826810;plentytask;https://twitter.com/plentytask/status/1733499119539511486
Sat Dec 09 14:49:31 +0000 2023;1733499118096617575;"@gibran_gen @gibran_tweet @prabowo sepertinya bakat dan ciri khas Pak jokowi turun ke mas Gibran";0;0;0;0;in;1723637045711585280;1733440653185708272;Reza_Mukils;https://twitter.com/Reza_Mukils/status/1733499118096617575
Sat Dec 09 14:49:26 +0000 2023;1733499096651215145;"Respons TKN soal PDIP Nilai Prabowo Tak Mampu Blusukan https://t.co/X47FgZ38g9";0;0;0;0;in;598959076;1733499096651215145;20detik;https://twitter.com/20detik/status/1733499096651215145
